;Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
40534;202200045009;1;AUTOROUTE A1;0;;3;1;0;1;3;0;1;; -1;1;0;1;90
40535;202200045010;1;A7-Sens Marseille vers Lyon;0;;1;3;3;1;280;0;1;; -1;1;0;1;90
40536;202200045011;3;ROCHET (RUE WALDECK);0;;2;2;0;1;0;1;1;; -1;2;9;1;50
40537;202200045012;3;ARGENTEUIL (RUE D');0;;2;2;0;1;0;750;1;; -1;2;0;1;50
40538;202200045013;7;RD302   0.000 A 0.400;0;;1;1;0;2;(1);(1);3;; -1;1;3;1;70
40539;202200045014;3;4;0;;2;2;0;1;84;200;3;; -1;1;0;1;90
40540;202200045015;4;LIBERTE BVD N°147 A FIN-96 A FIN;0;;3;4;3;1;(1);(1);1;; -1;1;0;6;50
40541;202200045016;3;FRANKLIN (AV.) 104 A FIN;0;;1;2;0;1;1;0;1;; -1;1;0;1;50
40542;202200045017;4;PICASSO (RUE PABLO);0;;2;2;0;1;0;0;1;; -1;1;0;1;50
40543;202200045018;1;A42 4.329 A 5.760   LYON/GEN;0;;1;3;0;1;5;500;1;; -1;2;0;1;90
